country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Haryana,Ballabgarh,"Nathu Colony, Ballabgarh - HSPCB","14-04-2026 20:00:00",28.3419248,77.319699,CO,30,116,70
India,Haryana,Ballabgarh,"Nathu Colony, Ballabgarh - HSPCB","14-04-2026 20:00:00",28.3419248,77.319699,OZONE,5,80,46
India,Haryana,Bhiwani,"H.B. Colony, Bhiwani - HSPCB","14-04-2026 20:00:00",28.806223,76.141105,NO2,2,31,9
India,Haryana,"Charkhi Dadri","Mini Secretariat, Charkhi Dadri - HSPCB","14-04-2026 20:00:00",28.593883,76.270653,CO,8,25,13
India,Haryana,Dharuhera,"Municipal Corporation Office, Dharuhera -  HSPCB","14-04-2026 20:00:00",28.206800,76.799700,PM2.5,57,282,146
India,Haryana,Dharuhera,"Municipal Corporation Office, Dharuhera -  HSPCB","14-04-2026 20:00:00",28.206800,76.799700,PM10,56,159,108
India,Haryana,Dharuhera,"Municipal Corporation Office, Dharuhera -  HSPCB","14-04-2026 20:00:00",28.206800,76.799700,NO2,15,51,38
India,Haryana,Dharuhera,"Municipal Corporation Office, Dharuhera -  HSPCB","14-04-2026 20:00:00",28.206800,76.799700,NH3,9,25,19
India,Haryana,Faridabad,"New Industrial Town, Faridabad - HSPCB","14-04-2026 20:00:00",28.39072,77.30059,NO2,23,27,25
India,Gujarat,Mehsana,"Sadanand Nagar, Mehsana - Nexteng Enviro","14-04-2026 20:00:00",23.593150,72.372792,PM2.5,12,127,50
India,Gujarat,Mehsana,"Sadanand Nagar, Mehsana - Nexteng Enviro","14-04-2026 20:00:00",23.593150,72.372792,OZONE,9,15,13
India,Gujarat,Nandesari,"GIDC, Nandesari - Nandesari Ind. Association","14-04-2026 20:00:00",22.410802,73.097923,PM2.5,39,319,143
India,Gujarat,Nandesari,"GIDC, Nandesari - Nandesari Ind. Association","14-04-2026 20:00:00",22.410802,73.097923,NO2,5,280,42
India,Gujarat,Rajkot,"Mavdi, Rajkot - Nexteng Enviro ","14-04-2026 20:00:00",22.248853,70.776774,PM2.5,11,54,32
India,Gujarat,Rajkot,"Mavdi, Rajkot - Nexteng Enviro ","14-04-2026 20:00:00",22.248853,70.776774,NO2,6,21,13
India,Gujarat,Surat,"Katargam, Surat - Nexteng Enviro","14-04-2026 20:00:00","21.217779 ","72.834787 ",SO2,7,19,10
India,Gujarat,Surat,"Science Center, Surat - SMC","14-04-2026 20:00:00",21.170046,72.795405,CO,22,62,28
India,Gujarat,Vadodara,"Bapunagar, Vadodara - Nexteng Enviro","14-04-2026 20:00:00",22.320153,73.216285,NO2,10,27,15
India,Gujarat,Vadodara,"Bapunagar, Vadodara - Nexteng Enviro","14-04-2026 20:00:00",22.320153,73.216285,OZONE,2,7,6
India,Gujarat,Vapi,"Phase-1 GIDC, Vapi - GPCB","14-04-2026 20:00:00",20.362421,72.918013,NH3,3,5,4
India,Gujarat,Vatva,"Phase-4 GIDC, Vatva - GPCB","14-04-2026 20:00:00",22.969611,72.643500,PM10,88,198,133
India,Haryana,Ambala,"Patti Mehar, Ambala - HSPCB","14-04-2026 20:00:00",30.379589,76.778328,PM2.5,43,88,70
India,Haryana,Ballabgarh,"Nathu Colony, Ballabgarh - HSPCB","14-04-2026 20:00:00",28.3419248,77.319699,PM2.5,58,231,128
India,Haryana,Ballabgarh,"Nathu Colony, Ballabgarh - HSPCB","14-04-2026 20:00:00",28.3419248,77.319699,NO2,19,21,20
India,Gujarat,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM","14-04-2026 20:00:00",23.076793,72.627874,NO2,14,76,33
India,Gujarat,Bhavnagar,"Vidhyanagar, Bhavnagar - Nexteng Enviro","14-04-2026 20:00:00",21.755417,72.139056,PM2.5,36,74,52
India,Gujarat,Bhavnagar,"Vidhyanagar, Bhavnagar - Nexteng Enviro","14-04-2026 20:00:00",21.755417,72.139056,PM10,71,137,110
India,Gujarat,Gandhinagar,"IIPHG Lekawada, Gandhinagar - IITM","14-04-2026 20:00:00",23.243639,72.68994,PM2.5,32,160,69
India,Gujarat,Gandhinagar,"IIPHG Lekawada, Gandhinagar - IITM","14-04-2026 20:00:00",23.243639,72.68994,PM10,70,188,116
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC","14-04-2026 20:00:00",28.672342,77.315260,PM10,96,221,147
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC","14-04-2026 20:00:00",28.672342,77.315260,SO2,14,39,22
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC","14-04-2026 20:00:00",28.699793,77.165453,SO2,8,34,19
India,Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM","14-04-2026 20:00:00",23.107969,72.574648,PM2.5,36,67,52
India,Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM","14-04-2026 20:00:00",23.107969,72.574648,PM10,102,152,120
India,Haryana,Fatehabad,"Huda Sector, Fatehabad - HSPCB","14-04-2026 20:00:00",29.503664,75.467934,NH3,13,14,14
India,Haryana,Fatehabad,"Huda Sector, Fatehabad - HSPCB","14-04-2026 20:00:00",29.503664,75.467934,CO,25,42,32
India,Haryana,Gurugram,"Sector-51, Gurugram - HSPCB","14-04-2026 20:00:00",28.4227,77.0667,PM2.5,13,397,242
India,Haryana,Gurugram,"Sector-51, Gurugram - HSPCB","14-04-2026 20:00:00",28.4227,77.0667,NO2,4,10,6
India,Haryana,Gurugram,"Sector-51, Gurugram - HSPCB","14-04-2026 20:00:00",28.4227,77.0667,NH3,6,10,8
India,Haryana,Gurugram,"Sector-51, Gurugram - HSPCB","14-04-2026 20:00:00",28.4227,77.0667,CO,14,60,21
India,Gujarat,Ahmedabad,"Gyaspur, Ahmedabad - IITM","14-04-2026 20:00:00",22.977134,72.553024,PM10,NA,NA,NA
India,Gujarat,Ahmedabad,"Gyaspur, Ahmedabad - IITM","14-04-2026 20:00:00",22.977134,72.553024,NH3,2,17,8
India,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB","14-04-2026 20:00:00",23.002657,72.591912,PM2.5,50,231,88
India,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB","14-04-2026 20:00:00",23.002657,72.591912,SO2,38,94,71
India,Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM","14-04-2026 20:00:00",23.020509,72.579261,PM2.5,38,83,60
India,Haryana,Faridabad,"Sector 11, Faridabad - HSPCB","14-04-2026 20:00:00",28.376058,77.315741,CO,39,40,40
India,Haryana,Faridabad,"Sector 11, Faridabad - HSPCB","14-04-2026 20:00:00",28.376058,77.315741,OZONE,15,16,15
India,Haryana,Faridabad,"Sector 30, Faridabad - HSPCB","14-04-2026 20:00:00",28.4417,77.3217,NO2,36,39,37
India,Haryana,Faridabad,"Sector 30, Faridabad - HSPCB","14-04-2026 20:00:00",28.4417,77.3217,SO2,6,6,6
India,Gujarat,Ahmedabad,"Rakhial, Ahmedabad - IITM","14-04-2026 20:00:00",23.016834,72.625775,NO2,3,14,7
India,Gujarat,Ahmedabad,"Rakhial, Ahmedabad - IITM","14-04-2026 20:00:00",23.016834,72.625775,OZONE,1,73,52
India,Gujarat,Ahmedabad,"SAC ISRO Satellite, Ahmedabad - IITM","14-04-2026 20:00:00",23.023389,72.515201,CO,NA,NA,NA
India,Haryana,Gurugram,"Teri Gram, Gurugram - HSPCB","14-04-2026 20:00:00",28.4275,77.1465,NH3,11,21,15
India,Haryana,Gurugram,"Vikas Sadan, Gurugram - HSPCB","14-04-2026 20:00:00",28.4501238,77.0263051,SO2,2,8,5
India,Haryana,Gurugram,"Vikas Sadan, Gurugram - HSPCB","14-04-2026 20:00:00",28.4501238,77.0263051,CO,66,114,90
India,Haryana,Hisar,"Urban Estate-II, Hisar - HSPCB","14-04-2026 20:00:00",29.140560,75.744941,PM10,NA,NA,NA
India,Haryana,Jind,"Police Lines, Jind - HSPCB","14-04-2026 20:00:00",29.307814,76.337619,OZONE,14,54,48
India,Haryana,Kaithal,"Rishi Nagar, Kaithal - HSPCB","14-04-2026 20:00:00",29.8006,76.4155,NO2,25,33,31
India,Haryana,Karnal,"Sector-12, Karnal - HSPCB","14-04-2026 20:00:00",29.695300,77.002700,SO2,4,10,8
India,Karnataka,Bengaluru,"Sanegurava Halli, Bengaluru - KSPCB","14-04-2026 20:00:00",12.990328,77.5431385,NO2,16,21,18
India,Karnataka,Bengaluru,"Sanegurava Halli, Bengaluru - KSPCB","14-04-2026 20:00:00",12.990328,77.5431385,CO,6,24,13
India,Karnataka,Bengaluru,"Shivapura_Peenya, Bengaluru - KSPCB","14-04-2026 20:00:00",13.0246342,77.5080115,PM10,28,32,30
India,Karnataka,Bengaluru,"Shivapura_Peenya, Bengaluru - KSPCB","14-04-2026 20:00:00",13.0246342,77.5080115,SO2,3,7,4
India,Karnataka,Bengaluru,"Silk Board, Bengaluru - KSPCB","14-04-2026 20:00:00",12.917348,77.622813,PM10,84,197,118
India,Karnataka,Bengaluru,"Silk Board, Bengaluru - KSPCB","14-04-2026 20:00:00",12.917348,77.622813,NO2,NA,NA,NA
India,Karnataka,Bengaluru,"Silk Board, Bengaluru - KSPCB","14-04-2026 20:00:00",12.917348,77.622813,OZONE,31,98,70
India,Karnataka,Chamarajanagar,"Urban, Chamarajanagar - KSPCB","14-04-2026 20:00:00",11.55358,76.55521,PM2.5,26,39,31
India,Haryana,Karnal,"Sector-12, Karnal - HSPCB","14-04-2026 20:00:00",29.695300,77.002700,CO,12,16,13
India,Haryana,Kurukshetra,"Sector-7, Kurukshetra - HSPCB","14-04-2026 20:00:00",29.966942,76.875879,CO,6,18,10
India,Haryana,Mandikhera,"General Hospital, Mandikhera(Nuh) - HSPCB","14-04-2026 20:00:00",27.9002,76.9938,NO2,19,24,21
India,Haryana,Manesar,"Sector-2 IMT, Manesar - HSPCB","14-04-2026 20:00:00",28.360699,76.936090,OZONE,10,49,32
India,Haryana,Narnaul,"Shastri Nagar, Narnaul - HSPCB","14-04-2026 20:00:00",28.060249,76.113115,NH3,4,6,5
India,Haryana,Palwal,"Shyam Nagar, Palwal - HSPCB","14-04-2026 20:00:00",28.1485564,77.3320667,NH3,9,9,9
India,Jharkhand,Dhanbad,"Sardar Patel Nagar, Dhanbad - JSPCB","14-04-2026 20:00:00",23.80569,86.44268,SO2,NA,NA,NA
India,Jharkhand,Jorapokhar,"Tata Stadium, Jorapokhar - JSPCB","14-04-2026 20:00:00",23.707909,86.414670,OZONE,2,48,37
India,Karnataka,Bagalkot,"Vidayagiri, Bagalkot - KSPCB","14-04-2026 20:00:00",16.172806,75.659694,NO2,11,12,12
India,Karnataka,Bagalkot,"Vidayagiri, Bagalkot - KSPCB","14-04-2026 20:00:00",16.172806,75.659694,SO2,7,7,7
India,Karnataka,Bengaluru,"BTM Layout, Bengaluru - CPCB","14-04-2026 20:00:00",12.9135218,77.5950804,PM10,88,90,89
India,Karnataka,Bengaluru,"BWSSB Kadabesanahalli, Bengaluru - CPCB","14-04-2026 20:00:00",12.9352049,77.6814488,PM10,31,105,70
India,Karnataka,Bengaluru,"Jayanagar 5th Block, Bengaluru - KSPCB","14-04-2026 20:00:00",12.920984,77.584908,CO,7,51,37
India,Karnataka,Bengaluru,"Jayanagar 5th Block, Bengaluru - KSPCB","14-04-2026 20:00:00",12.920984,77.584908,OZONE,7,39,25
India,Karnataka,Bengaluru,"Jigani, Bengaluru - KSPCB","14-04-2026 20:00:00",12.7816279,77.6299145,PM2.5,38,72,56
India,Karnataka,Bengaluru,"Jigani, Bengaluru - KSPCB","14-04-2026 20:00:00",12.7816279,77.6299145,NH3,3,3,3
India,Karnataka,Bengaluru,"Kasturi Nagar, Bengaluru - KSPCB","14-04-2026 20:00:00",13.003872,77.664217,PM10,79,81,80
India,Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB","14-04-2026 20:00:00",13.0270199,77.494094,PM10,47,49,47
India,Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB","14-04-2026 20:00:00",13.0270199,77.494094,NO2,20,39,26
India,Haryana,Sonipat,"Murthal, Sonipat - HSPCB","14-04-2026 20:00:00",29.027200,77.062100,SO2,3,17,8
India,Haryana,"Yamuna Nagar","Gobind Pura, Yamuna Nagar - HSPCB","14-04-2026 20:00:00",30.1480566,77.2893471,NH3,1,6,4
India,Haryana,"Yamuna Nagar","Gobind Pura, Yamuna Nagar - HSPCB","14-04-2026 20:00:00",30.1480566,77.2893471,CO,29,51,51
India,"Himachal Pradesh",Baddi,"HIMUDA Complex Phase-1, Baddi - HPPCB","14-04-2026 20:00:00",30.943887,76.801991,NO2,3,41,19
India,Jammu_and_Kashmir,Pampore,"Khrew, Pampore - JKPCC","14-04-2026 20:00:00",34.031606,75.009712,SO2,3,4,3
India,Haryana,Panchgaon,"Amity University, Panchgaon - IITM","14-04-2026 20:00:00",28.3153,76.9143,NH3,2,7,3
India,Haryana,Panipat,"Sector-18, Panipat - HSPCB","14-04-2026 20:00:00",29.432304,76.972765,PM10,112,195,151
India,Haryana,Panipat,"Sector-18, Panipat - HSPCB","14-04-2026 20:00:00",29.432304,76.972765,SO2,11,11,11
India,Haryana,Rohtak,"MD University, Rohtak - HSPCB","14-04-2026 20:00:00",28.52123,76.37138,NO2,11,13,11
India,Haryana,Sirsa,"F-Block, Sirsa - HSPCB","14-04-2026 20:00:00",29.536400,75.015800,PM2.5,29,95,53
India,Haryana,Sirsa,"F-Block, Sirsa - HSPCB","14-04-2026 20:00:00",29.536400,75.015800,PM10,50,142,88
India,Karnataka,Bengaluru,"Hombegowda Nagar, Bengaluru - KSPCB","14-04-2026 20:00:00",12.938539,77.590100,SO2,2,19,8
India,Karnataka,Bengaluru,"Hombegowda Nagar, Bengaluru - KSPCB","14-04-2026 20:00:00",12.938539,77.590100,CO,6,24,18
India,Karnataka,Bengaluru,"Hombegowda Nagar, Bengaluru - KSPCB","14-04-2026 20:00:00",12.938539,77.590100,OZONE,43,124,107
India,Karnataka,Bengaluru,"Jayanagar 5th Block, Bengaluru - KSPCB","14-04-2026 20:00:00",12.920984,77.584908,PM2.5,72,146,92
India,Karnataka,Bengaluru,"BWSSB Kadabesanahalli, Bengaluru - CPCB","14-04-2026 20:00:00",12.9352049,77.6814488,OZONE,11,40,35
India,"Madhya Pradesh",Gwalior,"Deen Dayal Nagar, Gwalior - MPPCB","14-04-2026 20:00:00",26.259242,78.216432,SO2,8,77,25
India,"Madhya Pradesh",Gwalior,"Maharaj Bada, Gwalior - MPPCB","14-04-2026 20:00:00",26.200388,78.147714,NO2,26,43,34
India,"Madhya Pradesh",Gwalior,"Maharaj Bada, Gwalior - MPPCB","14-04-2026 20:00:00",26.200388,78.147714,CO,4,148,52
India,"Madhya Pradesh",Indore,"Airport Area, Indore - IMC","14-04-2026 20:00:00",22.7289,75.8076,NO2,5,52,15
